Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"IG","Government Expenditure","578","Norway","6110","Value US$","23144","Environmental protection (general government expenditure)","2013","2013","million USD","4176.85","A","Official figure","consolidated General Government"
"IG","Government Expenditure","578","Norway","6184","Value US$, 2015 prices","23144","Environmental protection (general government expenditure)","2013","2013","million USD","2965.27","A","Official figure","consolidated General Government"
"IG","Government Expenditure","578","Norway","6224","Value Standard Local Currency","23144","Environmental protection (general government expenditure)","2014","2014","million SLC","25585","A","Official figure","consolidated General Government"
"IG","Government Expenditure","578","Norway","6110","Value US$","23144","Environmental protection (general government expenditure)","2014","2014","million USD","4060.04","A","Official figure","consolidated General Government"
"IG","Government Expenditure","578","Norway","6184","Value US$, 2015 prices","23144","Environmental protection (general government expenditure)","2014","2014","million USD","3083.7","A","Official figure","consolidated General Government"
"IG","Government Expenditure","578","Norway","6224","Value Standard Local Currency","23144","Environmental protection (general government expenditure)","2015","2015","million SLC","27036","A","Official figure","consolidated General Government"
"IG","Government Expenditure","578","Norway","6110","Value US$","23144","Environmental protection (general government expenditure)","2015","2015","million USD","3352.61","A","Official figure","consolidated General Government"
"IG","Government Expenditure","578","Norway","6184","Value US$, 2015 prices","23144","Environmental protection (general government expenditure)","2015","2015","million USD","3352.61","A","Official figure","consolidated General Government"
"IG","Government Expenditure","578","Norway","6224","Value Standard Local Currency","23144","Environmental protection (general government expenditure)","2016","2016","million SLC","28310","A","Official figure","consolidated General Government"
"IG","Government Expenditure","578","Norway","6110","Value US$","23144","Environmental protection (general government expenditure)","2016","2016","million USD","3370.17","A","Official figure","consolidated General Government"
"IG","Government Expenditure","578","Norway","6184","Value US$, 2015 prices","23144","Environmental protection (general government expenditure)","2016","2016","million USD","3567.61","A","Official figure","consolidated General Government"
"IG","Government Expenditure","578","Norway","6224","Value Standard Local Currency","23144","Environmental protection (general government expenditure)","2017","2017","million SLC","29512","A","Official figure","consolidated General Government"
"IG","Government Expenditure","578","Norway","6110","Value US$","23144","Environmental protection (general government expenditure)","2017","2017","million USD","3567.84","A","Official figure","consolidated General Government"
"IG","Government Expenditure","578","Norway","6184","Value US$, 2015 prices","23144","Environmental protection (general government expenditure)","2017","2017","million USD","3573.26","A","Official figure","consolidated General Government"
"IG","Government Expenditure","578","Norway","6224","Value Standard Local Currency","23144","Environmental protection (general government expenditure)","2018","2018","million SLC","30722","A","Official figure","consolidated General Government"
"IG","Government Expenditure","578","Norway","6110","Value US$","23144","Environmental protection (general government expenditure)","2018","2018","million USD","3777.68","A","Official figure","consolidated General Government"
"IG","Government Expenditure","578","Norway","6184","Value US$, 2015 prices","23144","Environmental protection (general government expenditure)","2018","2018","million USD","3484.79","A","Official figure","consolidated General Government"
"IG","Government Expenditure","578","Norway","6224","Value Standard Local Currency","23144","Environmental protection (general government expenditure)","2019","2019","million SLC","32576","A","Official figure","consolidated General Government"
"IG","Government Expenditure","578","Norway","6110","Value US$","23144","Environmental protection (general government expenditure)","2019","2019","million USD","3701.82","A","Official figure","consolidated General Government"
"IG","Government Expenditure","578","Norway","6184","Value US$, 2015 prices","23144","Environmental protection (general government expenditure)","2019","2019","million USD","3715.46","A","Official figure","consolidated General Government"
"IG","Government Expenditure","578","Norway","6224","Value Standard Local Currency","23144","Environmental protection (general government expenditure)","2020","2020","million SLC","36135","A","Official figure","consolidated General Government"
"IG","Government Expenditure","578","Norway","6110","Value US$","23144","Environmental protection (general government expenditure)","2020","2020","million USD","3837.68","A","Official figure","consolidated General Government"
"IG","Government Expenditure","578","Norway","6184","Value US$, 2015 prices","23144","Environmental protection (general government expenditure)","2020","2020","million USD","4227.81","A","Official figure","consolidated General Government"
"IG","Government Expenditure","578","Norway","6224","Value Standard Local Currency","23144","Environmental protection (general government expenditure)","2021","2021","million SLC","38950","A","Official figure","consolidated General Government"
"IG","Government Expenditure","578","Norway","6110","Value US$","23144","Environmental protection (general government expenditure)","2021","2021","million USD","4534.34","A","Official figure","consolidated General Government"
"IG","Government Expenditure","578","Norway","6184","Value US$, 2015 prices","23144","Environmental protection (general government expenditure)","2021","2021","million USD","3891.6","A","Official figure","consolidated General Government"
"IG","Government Expenditure","578","Norway","6224","Value Standard Local Currency","23144","Environmental protection (general government expenditure)","2022","2022","million SLC","47045","A","Official figure","consolidated General Government"
"IG","Government Expenditure","578","Norway","6110","Value US$","23144","Environmental protection (general government expenditure)","2022","2022","million USD","4893.3","A","Official figure","consolidated General Government"
"IG","Government Expenditure","578","Norway","6184","Value US$, 2015 prices","23144","Environmental protection (general government expenditure)","2022","2022","million USD","3670.13","A","Official figure","consolidated General Government"
"IG","Government Expenditure","578","Norway","6224","Value Standard Local Currency","23144","Environmental protection (general government expenditure)","2023","2023","million SLC","47118","A","Official figure","consolidated General Government"
"IG","Government Expenditure","578","Norway","6110","Value US$","23144","Environmental protection (general government expenditure)","2023","2023","million USD","4460.52","A","Official figure","consolidated General Government"
"IG","Government Expenditure","578","Norway","6184","Value US$, 2015 prices","23144","Environmental protection (general government expenditure)","2023","2023","million USD","4112.24","A","Official figure","consolidated General Government"
"IG","Government Expenditure","578","Norway","6224","Value Standard Local Currency","23181","Protection of Biodiversity and Landscape (general government expenditure)","2010","2010","million SLC","1374","X","Figure from external organization","consolidated General Government"
"IG","Government Expenditure","578","Norway","6110","Value US$","23181","Protection of Biodiversity and Landscape (general government expenditure)","2010","2010","million USD","227","X","Figure from external organization","consolidated General Government"
"IG","Government Expenditure","578","Norway","6184","Value US$, 2015 prices","23181","Protection of Biodiversity and Landscape (general government expenditure)","2010","2010","million USD","188","X","Figure from external organization","consolidated General Government"
"IG","Government Expenditure","578","Norway","6224","Value Standard Local Currency","23181","Protection of Biodiversity and Landscape (general government expenditure)","2011","2011","million SLC","1481","X","Figure from external organization","consolidated General Government"
"IG","Government Expenditure","578","Norway","6110","Value US$","23181","Protection of Biodiversity and Landscape (general government expenditure)","2011","2011","million USD","264","X","Figure from external organization","consolidated General Government"
"IG","Government Expenditure","578","Norway","6184","Value US$, 2015 prices","23181","Protection of Biodiversity and Landscape (general government expenditure)","2011","2011","million USD","190","X","Figure from external organization","consolidated General Government"
"IG","Government Expenditure","578","Norway","6224","Value Standard Local Currency","23181","Protection of Biodiversity and Landscape (general government expenditure)","2012","2012","million SLC","1652","X","Figure from external organization","consolidated General Government"
"IG","Government Expenditure","578","Norway","6110","Value US$","23181","Protection of Biodiversity and Landscape (general government expenditure)","2012","2012","million USD","284","X","Figure from external organization","consolidated General Government"
"IG","Government Expenditure","578","Norway","6184","Value US$, 2015 prices","23181","Protection of Biodiversity and Landscape (general government expenditure)","2012","2012","million USD","205","X","Figure from external organization","consolidated General Government"
"IG","Government Expenditure","578","Norway","6224","Value Standard Local Currency","23181","Protection of Biodiversity and Landscape (general government expenditure)","2013","2013","million SLC","1268","X","Figure from external organization","consolidated General Government"
"IG","Government Expenditure","578","Norway","6110","Value US$","23181","Protection of Biodiversity and Landscape (general government expenditure)","2013","2013","million USD","216","X","Figure from external organization","consolidated General Government"
"IG","Government Expenditure","578","Norway","6184","Value US$, 2015 prices","23181","Protection of Biodiversity and Landscape (general government expenditure)","2013","2013","million USD","153","X","Figure from external organization","consolidated General Government"
"IG","Government Expenditure","578","Norway","6224","Value Standard Local Currency","23181","Protection of Biodiversity and Landscape (general government expenditure)","2014","2014","million SLC","1214","X","Figure from external organization","consolidated General Government"
"IG","Government Expenditure","578","Norway","6110","Value US$","23181","Protection of Biodiversity and Landscape (general government expenditure)","2014","2014","million USD","193","X","Figure from external organization","consolidated General Government"
"IG","Government Expenditure","578","Norway","6184","Value US$, 2015 prices","23181","Protection of Biodiversity and Landscape (general government expenditure)","2014","2014","million USD","146","X","Figure from external organization","consolidated General Government"
"IG","Government Expenditure","578","Norway","6224","Value Standard Local Currency","23181","Protection of Biodiversity and Landscape (general government expenditure)","2015","2015","million SLC","1281","X","Figure from external organization","consolidated General Government"
"IG","Government Expenditure","578","Norway","6110","Value US$","23181","Protection of Biodiversity and Landscape (general government expenditure)","2015","2015","million USD","159","X","Figure from external organization","consolidated General Government"
"IG","Government Expenditure","578","Norway","6184","Value US$, 2015 prices","23181","Protection of Biodiversity and Landscape (general government expenditure)","2015","2015","million USD","159","X","Figure from external organization","consolidated General Government"
"IG","Government Expenditure","578","Norway","6224","Value Standard Local Currency","23181","Protection of Biodiversity and Landscape (general government expenditure)","2016","2016","million SLC","1472","X","Figure from external organization","consolidated General Government"
"IG","Government Expenditure","578","Norway","6110","Value US$","23181","Protection of Biodiversity and Landscape (general government expenditure)","2016","2016","million USD","175","X","Figure from external organization","consolidated General Government"
"IG","Government Expenditure","578","Norway","6184","Value US$, 2015 prices","23181","Protection of Biodiversity and Landscape (general government expenditure)","2016","2016","million USD","186","X","Figure from external organization","consolidated General Government"
"IG","Government Expenditure","578","Norway","6224","Value Standard Local Currency","23181","Protection of Biodiversity and Landscape (general government expenditure)","2017","2017","million SLC","1671","X","Figure from external organization","consolidated General Government"
"IG","Government Expenditure","578","Norway","6110","Value US$","23181","Protection of Biodiversity and Landscape (general government expenditure)","2017","2017","million USD","202","X","Figure from external organization","consolidated General Government"
"IG","Government Expenditure","578","Norway","6184","Value US$, 2015 prices","23181","Protection of Biodiversity and Landscape (general government expenditure)","2017","2017","million USD","202","X","Figure from external organization","consolidated General Government"
"IG","Government Expenditure","578","Norway","6224","Value Standard Local Currency","23181","Protection of Biodiversity and Landscape (general government expenditure)","2018","2018","million SLC","1658","A","Official figure","consolidated General Government"
"IG","Government Expenditure","578","Norway","6110","Value US$","23181","Protection of Biodiversity and Landscape (general government expenditure)","2018","2018","million USD","204","A","Official figure","consolidated General Government"
"IG","Government Expenditure","578","Norway","6184","Value US$, 2015 prices","23181","Protection of Biodiversity and Landscape (general government expenditure)","2018","2018","million USD","188","A","Official figure","consolidated General Government"
