Domain Code,Domain,Area Code (M49),Area,Year Code,Year,Item Code,Item,Months Code,Months,Element Code,Element,Unit,Value,Flag,Flag Description,Note
"CP","Consumer Price Indices","578","Norway","2013","2013","23012","Consumer Prices, General Indices (2015 = 100)","7001","January","6125","Value","","94.5","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2013","2013","23012","Consumer Prices, General Indices (2015 = 100)","7002","February","6125","Value","","95.1","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2013","2013","23012","Consumer Prices, General Indices (2015 = 100)","7003","March","6125","Value","","95.4","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2013","2013","23012","Consumer Prices, General Indices (2015 = 100)","7004","April","6125","Value","","95.9","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2013","2013","23012","Consumer Prices, General Indices (2015 = 100)","7005","May","6125","Value","","96","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2013","2013","23012","Consumer Prices, General Indices (2015 = 100)","7006","June","6125","Value","","95.7","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2013","2013","23012","Consumer Prices, General Indices (2015 = 100)","7007","July","6125","Value","","96.1","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2013","2013","23012","Consumer Prices, General Indices (2015 = 100)","7008","August","6125","Value","","96","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2013","2013","23012","Consumer Prices, General Indices (2015 = 100)","7009","September","6125","Value","","96.4","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2013","2013","23012","Consumer Prices, General Indices (2015 = 100)","7010","October","6125","Value","","96.6","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2013","2013","23012","Consumer Prices, General Indices (2015 = 100)","7011","November","6125","Value","","96.7","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2013","2013","23012","Consumer Prices, General Indices (2015 = 100)","7012","December","6125","Value","","96.6","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2014","2014","23012","Consumer Prices, General Indices (2015 = 100)","7001","January","6125","Value","","96.6","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2014","2014","23012","Consumer Prices, General Indices (2015 = 100)","7002","February","6125","Value","","97.1","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2014","2014","23012","Consumer Prices, General Indices (2015 = 100)","7003","March","6125","Value","","97.3","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2014","2014","23012","Consumer Prices, General Indices (2015 = 100)","7004","April","6125","Value","","97.7","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2014","2014","23012","Consumer Prices, General Indices (2015 = 100)","7005","May","6125","Value","","97.8","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2014","2014","23012","Consumer Prices, General Indices (2015 = 100)","7006","June","6125","Value","","97.5","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2014","2014","23012","Consumer Prices, General Indices (2015 = 100)","7007","July","6125","Value","","98.3","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2014","2014","23012","Consumer Prices, General Indices (2015 = 100)","7008","August","6125","Value","","97.9","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2014","2014","23012","Consumer Prices, General Indices (2015 = 100)","7009","September","6125","Value","","98.5","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2014","2014","23012","Consumer Prices, General Indices (2015 = 100)","7010","October","6125","Value","","98.6","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2014","2014","23012","Consumer Prices, General Indices (2015 = 100)","7011","November","6125","Value","","98.6","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2014","2014","23012","Consumer Prices, General Indices (2015 = 100)","7012","December","6125","Value","","98.6","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2015","2015","23012","Consumer Prices, General Indices (2015 = 100)","7001","January","6125","Value","","98.6","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2015","2015","23012","Consumer Prices, General Indices (2015 = 100)","7002","February","6125","Value","","98.9","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2015","2015","23012","Consumer Prices, General Indices (2015 = 100)","7003","March","6125","Value","","99.2","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2015","2015","23012","Consumer Prices, General Indices (2015 = 100)","7004","April","6125","Value","","99.6","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2015","2015","23012","Consumer Prices, General Indices (2015 = 100)","7005","May","6125","Value","","99.8","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2015","2015","23012","Consumer Prices, General Indices (2015 = 100)","7006","June","6125","Value","","100.1","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2015","2015","23012","Consumer Prices, General Indices (2015 = 100)","7007","July","6125","Value","","100.1","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2015","2015","23012","Consumer Prices, General Indices (2015 = 100)","7008","August","6125","Value","","99.9","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2015","2015","23012","Consumer Prices, General Indices (2015 = 100)","7009","September","6125","Value","","100.6","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2015","2015","23012","Consumer Prices, General Indices (2015 = 100)","7010","October","6125","Value","","101","X","Figure from external organization","base year is 2015"
